data_referencia,ra,fase,turma,nome,ano_nasc,idade_22,gênero,ano_ingresso,instituição_de_ensino,pedra_20,pedra_21,pedra_22,inde_22,cg,cf,ct,nº_av,avaliador1,rec_av1,avaliador2,rec_av2,avaliador3,rec_av3,avaliador4,rec_av4,iaa,ieg,ips,rec_psicologia,ida,matem,portug,inglês,indicado,atingiu_pv,ipv,ian,fase_ideal,defasagem,destaque_ieg,destaque_ida,destaque_ipv,ano_referencia,inde_2023,pedra_2023,nome_anonimizado,data_de_nasc,idade,pedra_23,inde_23,ipp,mat,por,ing,fase_ideal,destaque_ipv_1,inde_2024,pedra_2024,avaliador5,avaliador6,escola,ativo/inativo,ativo/inativo_1
2022-01-01,RA-1,7,A,Aluno-1,2003.0,19.0,Menina,2016,Escola Pública,Ametista,Ametista,Quartzo,5.783,753.0,18.0,10.0,4.0,Avaliador-5,Mantido na Fase atual,Avaliador-27,Promovido de Fase + Bolsa,Avaliador-28,Promovido de Fase,Avaliador-31,Mantido na Fase atual,8.3,4.1,5.6,Requer avaliação,4.0,2.7,3.5,6.0,Sim,Não,7.278,5.0,Fase 8 (Universitários),-1,Melhorar: Melhorar a sua entrega de lições de casa.,Melhorar: Empenhar-se mais nas aulas e avaliações.,Melhorar: Integrar-se mais aos Princípios Passos Mágicos.,2022,,,,,,,,,,,,,,,,,,,,
2022-01-01,RA-61,5,B,Aluno-61,2007.0,15.0,Menino,2021,Escola Pública,,Ágata,Ametista,7.533,298.0,20.0,8.0,3.0,Avaliador-5,Mantido na Fase atual,Avaliador-27,Mantido na Fase atual,Avaliador-24,Promovido de Fase + Bolsa,Avaliador-31,,9.2,7.4,7.5,Não atendido,5.8,1.7,6.3,9.3,Sim,Não,7.875,10.0,Fase 5 (1º EM),0,Melhorar: Melhorar a sua entrega de lições de casa.,Melhorar: Empenhar-se mais nas aulas e avaliações.,Destaque: A sua boa integração aos Princípios Passos Mágicos.,2022,,,,,,,,,,,,,,,,,,,,
2022-01-01,RA-610,1,L,Aluno-610,2013.0,9.0,Menina,2022,Escola Pública,,,Topázio,8.18,91.0,21.0,3.0,3.0,Avaliador-4,Mantido na Fase atual,Avaliador-2,Promovido de Fase,,Mantido na Fase atual,,,9.0,9.6,7.5,Sem limitações,6.5,6.0,7.0,,Não,Sim,8.5,10.0,Fase 1 (4º ano),0,Destaque: A sua boa entrega das lições de casa.,Melhorar: Empenhar-se mais nas aulas e avaliações.,Destaque: A sua boa integração aos Princípios Passos Mágicos.,2022,,,,,,,,,,,,,,,,,,,,
2022-01-01,RA-611,1,M,Aluno-611,2010.0,12.0,Menino,2021,Escola Pública,,Ametista,Ametista,7.756,214.0,54.0,4.0,3.0,Avaliador-7,Promovido de Fase + Bolsa,Avaliador-3,Promovido de Fase,,Promovido de Fase,,,9.5,7.6,7.5,Não atendido,9.5,10.0,9.0,,Sim,Não,7.556,5.0,Fase 3 (7º e 8º ano),-2,Destaque: A sua boa entrega das lições de casa.,Destaque: As suas boas notas na Passos Mágicos.,Destaque: A sua boa integração aos Princípios Passos Mágicos.,2022,,,,,,,,,,,,,,,,,,,,
2022-01-01,RA-612,1,M,Aluno-612,2012.0,10.0,Menina,2021,Escola Pública,,Topázio,Ametista,7.594,273.0,71.0,6.0,3.0,Avaliador-7,Promovido de Fase,Avaliador-3,Mantido na Fase atual,,Mantido na Fase atual,,,9.0,9.2,7.5,Não atendido,7.9,9.7,6.2,,Não,Não,7.167,5.0,Fase 2 (5º e 6º ano),-1,Destaque: A sua boa entrega das lições de casa.,Destaque: As suas boas notas na Passos Mágicos.,Melhorar: Integrar-se mais aos Princípios Passos Mágicos.,2022,,,,,,,,,,,,,,,,,,,,
2022-01-01,RA-613,1,M,Aluno-613,2009.0,13.0,Menino,2020,Escola Pública,Ametista,Ametista,Topázio,8.121,108.0,23.0,2.0,3.0,Avaliador-7,Promovido de Fase,Avaliador-3,Promovido de Fase,,Promovido de Fase + Bolsa,,,9.0,9.2,7.5,Não atendido,9.2,9.2,9.2,,Sim,Sim,8.556,5.0,Fase 3 (7º e 8º ano),-2,Destaque: A sua boa entrega das lições de casa.,Destaque: As suas boas notas na Passos Mágicos.,Destaque: A sua boa integração aos Princípios Passos Mágicos.,2022,,,,,,,,,,,,,,,,,,,,
2022-01-01,RA-614,1,M,Aluno-614,2010.0,12.0,Menino,2021,Escola Pública,,Topázio,Topázio,8.339,55.0,8.0,1.0,3.0,Avaliador-7,Promovido de Fase + Bolsa,Avaliador-3,Mantido na Fase atual,,Promovido de Fase,,,9.5,9.7,7.5,Não atendido,9.6,9.8,9.3,,Sim,Não,8.278,5.0,Fase 3 (7º e 8º ano),-2,Destaque: A sua boa entrega das lições de casa.,Destaque: As suas boas notas na Passos Mágicos.,Destaque: A sua boa integração aos Princípios Passos Mágicos.,2022,,,,,,,,,,,,,,,,,,,,
2022-01-01,RA-615,1,M,Aluno-615,2013.0,9.0,Menina,2020,Escola Pública,Topázio,Topázio,Topázio,8.086,120.0,27.0,3.0,3.0,Avaliador-7,Mantido na Fase atual,Avaliador-3,Mantido na Fase atual,,Promovido de Fase,,,9.5,9.7,7.5,Não atendido,7.3,7.8,6.7,,Não,Não,6.889,10.0,Fase 1 (4º ano),0,Destaque: A sua boa entrega das lições de casa.,Melhorar: Empenhar-se mais nas aulas e avaliações.,Melhorar: Integrar-se mais aos Princípios Passos Mágicos.,2022,,,,,,,,,,,,,,,,,,,,
2022-01-01,RA-616,1,M,Aluno-616,2010.0,12.0,Menino,2019,Escola Pública,Ágata,Ametista,Ametista,7.303,391.0,102.0,8.0,3.0,Avaliador-7,Promovido de Fase,Avaliador-3,Mantido na Fase atual,,Promovido de Fase,,,7.4,7.4,7.5,Não atendido,8.8,9.2,8.5,,Não,Não,7.278,5.0,Fase 3 (7º e 8º ano),-2,Melhorar: Melhorar a sua entrega de lições de casa.,Destaque: As suas boas notas na Passos Mágicos.,Melhorar: Integrar-se mais aos Princípios Passos Mágicos.,2022,,,,,,,,,,,,,,,,,,,,
2022-01-01,RA-617,1,M,Aluno-617,2011.0,11.0,Menina,2021,Escola Pública,,Ametista,Ametista,7.107,453.0,115.0,10.0,3.0,Avaliador-7,Mantido na Fase atual,Avaliador-3,Mantido na Fase atual,,Promovido de Fase,,,8.5,8.9,7.5,Não atendido,6.3,4.5,8.0,,Não,Não,6.778,5.0,Fase 2 (5º e 6º ano),-1,Destaque: A sua boa entrega das lições de casa.,Melhorar: Empenhar-se mais nas aulas e avaliações.,Melhorar: Integrar-se mais aos Princípios Passos Mágicos.,2022,,,,,,,,,,,,,,,,,,,,
2022-01-01,RA-618,1,M,Aluno-618,2009.0,13.0,Menino,2020,Escola Pública,Ametista,Ametista,Ametista,7.18,438.0,112.0,9.0,3.0,Avaliador-7,Mantido na Fase atual,Avaliador-3,Mantido na Fase atual,,Mantido na Fase atual,,,8.9,8.3,7.5,Não atendido,6.7,6.8,6.5,,Não,Não,7.333,5.0,Fase 3 (7º e 8º ano),-2,Destaque: A sua boa entrega das lições de casa.,Melhorar: Empenhar-se mais nas aulas e avaliações.,Melhorar: Integrar-se mais aos Princípios Passos Mágicos.,2022,,,,,,,,,,,,,,,,,,,,
2022-01-01,RA-609,1,L,Aluno-609,2011.0,11.0,Menino,2019,Escola Pública,Ametista,Ágata,Ágata,6.794,557.0,137.0,11.0,3.0,Avaliador-4,Promovido de Fase,Avaliador-2,Promovido de Fase,,Mantido na Fase atual,,,8.5,7.6,7.5,Sem limitações,6.0,6.5,5.5,,Não,Não,7.056,5.0,Fase 2 (5º e 6º ano),-1,Destaque: A sua boa entrega das lições de casa.,Melhorar: Empenhar-se mais nas aulas e avaliações.,Melhorar: Integrar-se mais aos Princípios Passos Mágicos.,2022,,,,,,,,,,,,,,,,,,,,
2022-01-01,RA-619,1,M,Aluno-619,2011.0,11.0,Menina,2021,Escola Pública,,Ametista,Ametista,7.693,236.0,62.0,5.0,3.0,Avaliador-7,Mantido na Fase atual,Avaliador-3,Mantido na Fase atual,,Promovido de Fase,,,9.5,8.0,7.5,Não atendido,9.0,9.2,8.8,,Não,Não,7.333,5.0,Fase 2 (5º e 6º ano),-1,Destaque: A sua boa entrega das lições de casa.,Destaque: As suas boas notas na Passos Mágicos.,Melhorar: Integrar-se mais aos Princípios Passos Mágicos.,2022,,,,,,,,,,,,,,,,,,,,
2022-01-01,RA-620,1,M,Aluno-620,2010.0,12.0,Menino,2021,Escola Pública,,Ametista,Ágata,6.018,726.0,173.0,11.0,3.0,Avaliador-7,Promovido de Fase,Avaliador-3,Mantido na Fase atual,,Mantido na Fase atual,,,0.0,7.5,7.5,Não atendido,6.8,8.5,5.0,,Não,Não,6.833,5.0,Fase 3 (7º e 8º ano),-2,Destaque: A sua boa entrega das lições de casa.,Melhorar: Empenhar-se mais nas aulas e avaliações.,Melhorar: Integrar-se mais aos Princípios Passos Mágicos.,2022,,,,,,,,,,,,,,,,,,,,
2022-01-01,RA-621,1,M,Aluno-621,2012.0,10.0,Menino,2020,Escola Pública,Topázio,Topázio,Ametista,7.448,337.0,89.0,7.0,3.0,Avaliador-7,Mantido na Fase atual,Avaliador-3,Mantido na Fase atual,,Mantido na Fase atual,,,9.5,7.7,7.5,Não atendido,7.5,6.8,8.2,,Não,Não,8.222,5.0,Fase 2 (5º e 6º ano),-1,Destaque: A sua boa entrega das lições de casa.,Destaque: As suas boas notas na Passos Mágicos.,Destaque: A sua boa integração aos Princípios Passos Mágicos.,2022,,,,,,,,,,,,,,,,,,,,
